yearID,lgID,teamID,franchID,name,park,attendance,BA,2B,3B,HR,teamIDBR,teamIDlahman45,teamIDretro,Capacity,Type,Surface,LLd,LFd,LCd,CFd,RCd,RFd,RLd,LLh,LFh,LCh,CFh,RCh,RFh,RLh,BA LH,2B LH,3B LH,HR LH,BA RH,2B RH,3B RH,HR RH,BA Overall,2B Overall,3B Overall,HR Overall,path
1992,AL,BGR,BGR,Bingre Eagles,Hanwha Life Eagles Park,,,,,,,,,10500,,,321,339,356,374,356,339,321,8,8,8,8,8,8,8,1.009237351,0.985366796,0.96682466,1.059611949,0.990969361,0.976905604,1.047692978,1.041991705,1.005179164,1.000796098,1.002948743,1.047520689,
1992,AL,SAM,SAM,Samsung Lions,Daegu Citizen Baseball Stadium,,,,,,,,,10000,,,321,339,356,374,356,339,321,9,9,9,9,9,9,9,0.99646459,0.992807692,1.024988326,1.017039468,0.997320078,1.021708428,1.053579228,1.03065853,1.000244344,1.03048745,1.054671983,1.003083154,
1992,AL,HAI,HAI,Haitai Tigers,Mudeung Baseball Stadium,,,,,,,,,12500,,,321,339,356,374,356,339,321,22,22,22,22,22,22,22,0.997011426,1.073082141,1.017632904,0.981651425,1.009590597,1.049163784,0.997482895,1.025057412,0.999993649,1.067858894,0.991183774,0.989684742,
1992,AL,TAI,SM,Taipyungyang Dolphins,Sungui baseball stadium,,,,,,,,,12000,,,298,319,339,360,339,319,298,21,21,21,21,21,21,21,0.994090246,1.028772024,1.004040285,0.965844663,1.008665866,1.034287226,1.015119941,0.98262816,1.00187311,1.013447896,0.989409811,0.982462954,
1992,AL,LG,MBC,LG Twins,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.989360312,0.949401315,0.963083172,0.942970805,0.997909208,0.953706622,0.953296151,0.937482066,0.996304,0.94156009,0.961867497,0.933245102,
1992,AL,OB,OB,OB Bears,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.989360312,0.949401315,0.963083172,0.942970805,0.997909208,0.953706622,0.953296151,0.937482066,0.996304,0.94156009,0.961867497,0.933245102,
1993,AL,LOT,LOT,Lotte Giants,Sajik Baseball Stadium,,,,,,,,,30154,,,311,336,362,387,362,336,311,15,15,15,15,15,15,15,1.007666305,1.041124257,1.01091344,1.053547864,1.007089624,1.031543652,1.004210797,1.028600725,1.00089411,1.024677097,0.985715734,1.057545065,
1993,AL,SBW,SBW,Ssangbangwool Raiders,Jeonju Baseball Stadium,,,,,,,,,10000,,,311,327,344,360,344,327,311,6,6,6,6,6,6,6,1.016809458,0.980044458,1.049434041,1.036363021,0.990546059,0.978978063,0.97532186,1.016099336,0.999207623,0.979612384,1.052334962,1.053213193,
1993,AL,BGR,BGR,Bingre Eagles,Hanwha Life Eagles Park,,,,,,,,,10500,,,321,339,356,374,356,339,321,8,8,8,8,8,8,8,1.009237351,0.985366796,0.96682466,1.059611949,0.990969361,0.976905604,1.047692978,1.041991705,1.005179164,1.000796098,1.002948743,1.047520689,
1993,AL,SAM,SAM,Samsung Lions,Daegu Citizen Baseball Stadium,,,,,,,,,10000,,,321,339,356,374,356,339,321,9,9,9,9,9,9,9,0.99646459,0.992807692,1.024988326,1.017039468,0.997320078,1.021708428,1.053579228,1.03065853,1.000244344,1.03048745,1.054671983,1.003083154,
1993,AL,HAI,HAI,Haitai Tigers,Mudeung Baseball Stadium,,,,,,,,,12500,,,321,339,356,374,356,339,321,22,22,22,22,22,22,22,0.997011426,1.073082141,1.017632904,0.981651425,1.009590597,1.049163784,0.997482895,1.025057412,0.999993649,1.067858894,0.991183774,0.989684742,
1993,AL,TAI,SM,Taipyungyang Dolphins,Sungui baseball stadium,,,,,,,,,12000,,,298,319,339,360,339,319,298,21,21,21,21,21,21,21,0.994090246,1.028772024,1.004040285,0.965844663,1.008665866,1.034287226,1.015119941,0.98262816,1.00187311,1.013447896,0.989409811,0.982462954,
1993,AL,LG,MBC,LG Twins,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.989360312,0.949401315,0.963083172,0.942970805,0.997909208,0.953706622,0.953296151,0.937482066,0.996304,0.94156009,0.961867497,0.933245102,
1993,AL,OB,OB,OB Bears,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.989360312,0.949401315,0.963083172,0.942970805,0.997909208,0.953706622,0.953296151,0.937482066,0.996304,0.94156009,0.961867497,0.933245102,
1994,AL,LOT,LOT,Lotte Giants,Sajik Baseball Stadium,,,,,,,,,30154,,,311,336,362,387,362,336,311,15,15,15,15,15,15,15,1.008284361,1.043941242,1.011705015,1.053493276,1.007808524,1.032408024,1.003065142,1.027983868,1.001299347,1.028519083,0.986457183,1.057668233,
1994,AL,SBW,SBW,Ssangbangwool Raiders,Jeonju Baseball Stadium,,,,,,,,,10000,,,311,327,344,360,344,327,311,6,6,6,6,6,6,6,1.017433122,0.982696178,1.050255778,1.036309323,0.991253148,0.979798387,0.974209163,1.015489976,0.999612177,0.983285402,1.053126521,1.053335856,
