playerid,lahmanID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,namefirst,namelast,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,BBrefMiLBid,DraftValue,Fastball,Changeup,Curve,Slider,Sinker,Splitter,Forkball,Cutter,Knuckleball,KnuckleCurve,CircleChange,Screwball,pexp,cexp,1bexp,2bexp,ssexp,3bexp,lfexp,cfexp,rfexp,infrange,inferror,infarm,infdp,cability,carm,ofrange,oferror,ofarm,Ethnicity,Arm Slot,Arm Slot.1,Name_ko,High,position
62597,62597,,,1979.0,10.0,11.0,United States,,,,,,,,,Shane,Youman,,,,220.0,77.0,L,L,,,,,,,,2062597,,1.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,African,4.0,4.0,유먼,,
99725,99725,,,1969.0,10.0,3.0,United States,,,,,,,,,Jay,Davis,,,,185.0,72.0,L,L,,,,,,,,2099725,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,데이비스,,
66138,66138,,,1984.0,8.0,22.0,United States,,,,,,,,,David,Huff,,,,194.0,72.0,L,L,,,,,,,,2066138,,1.0,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,허프,,
65331,65331,,,1985.0,8.0,22.0,United States,,,,,,,,,Ryan,Feierabend,,,,225.0,75.0,L,L,,,,,,,,2065331,,1.0,2.0,5.0,3.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,피어밴드,,
66226,66226,,,1986.0,9.0,9.0,United States,,,,,,,,,Michael,Bowdent,,,,223.0,75.0,R,R,,,,,,,,2066226,,1.0,,4.0,5.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,보우덴,,
72653,72653,,,1968.0,11.0,13.0,United States,,,,,,,,,Mark,Kiefer,,,,201.0,76.0,R,R,,,,,,,,2072653,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,키퍼,,
68240,68240,,,1988.0,8.0,27.0,United States,,,,,,,,,Seth,Frankoff,,,,209.0,77.0,R,R,,,,,,,,2068240,,2.0,3.0,4.0,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,후랭코프,,
65931,65931,,,1986.0,9.0,28.0,United States,,,,,,,,,Zachary,Stewart,,,,205.0,74.0,R,R,,,,,,,,2065931,,1.0,2.0,6.0,5.0,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,스튜어트,,
99724,99724,,,1965.0,9.0,27.0,United States,,,,,,,,,Dan,Rohrmeier,,,,194.0,72.0,R,R,,,,,,,,2099724,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,로마이어,,
77725,77725,,,1973.0,1.0,28.0,United States,,,,,,,,,Jacob,Cruz,,,,198.0,72.0,L,L,,,,,,,,2077725,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,African,4.0,4.0,크루즈,,
